자치구,행정동,당월_매출_금액,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드
동작구,노량진1동,1240721807483,756479088575,484242718908,113779291014,168531327315,149316242660,137434751959,187417475627,303541684429,180701034479,41663758919,180472211030,232661365387,285516180367,450589952584,49818339196,1202973070,120107478121,240067399716,183861375280,200546268086,276050735305,11200720
종로구,종로1?2?3?4가동,856376037690,692482659510,163893378180,139516800416,142346056350,127625503922,132375090215,150619208607,103979297816,59914080364,18401577914,77382832108,243219059483,249232067451,203390575226,64749925508,1691260085,78643630770,163026260910,136065544663,156714972961,172234846506,11010610
동대문구,제기동,821720475602,599581558723,222138916879,118138222569,129270634763,110121012608,119515138000,122536550783,141019306364,81119610515,21163835006,205913254294,253287738293,262135190080,75460212706,3760245223,419626155,12072461723,63159809764,93468509271,159595427811,440055917086,11060820
금천구,가산동,808381688375,510034858834,298346829541,96215238098,100749630156,100888050508,102079718265,110102221807,146900340487,151446489054,3221474770,44846448518,236488357203,283224755457,221669111328,18931541099,1394815293,64769935963,179463167027,198672152080,178470671096,129120179654,11180510
용산구,한강로동,712499158555,594790503400,117708655155,112377265303,163910334728,84461647157,109597897139,124443359073,71312698326,46395956829,2496181627,47691718482,229502068069,266377383997,152129449797,14302356583,821513508,39479568385,85713054681,116992979027,122943592937,77580658724,11030730
중구,소공동,653913747847,524410068571,129503679276,98709403941,112125115356,100675987650,105100242268,107799319356,86809625905,42694053371,19069269359,59179208995,208539131322,167507786519,157253074740,42365276912,2175260355,45637391522,101988791830,99657278366,106249980484,141495194123,11020520
송파구,방이2동,489114826537,320313820746,168801005791,59805546057,66594236355,62800914083,60649250762,70463873489,92920168510,75880837281,23882732513,20887997635,100136614281,119306268417,165537758393,59363455298,3799416107,89747470589,141254905680,100834878973,72110104452,52902596112,11240580
송파구,가락1동,457345964473,365367106756,91978857717,70141772193,83379416447,66650679351,69594177390,75601061375,71869005225,20109852492,142985252599,97253970001,66253131926,67262748866,35022434516,48568426565,69033282,10495584482,52570891109,89048188796,90927592407,111169598545,11240660
강남구,대치4동,418354132041,317391841169,100962290872,61530616501,69274385808,57081089319,60248612101,69257137440,60678278385,40284012487,8308571573,40411690855,92377338666,101339846747,133616475328,42300208872,4110539707,22797888699,47741713320,169906394085,103225885591,31144172398,11230630
서초구,서초2동,410335765784,325137716152,85198049632,68746173365,64782599398,53720483111,58338492094,79549968184,62679789458,22518260174,11775618548,47099579305,108315677287,98635659717,104709819470,39799411457,3520881069,89584984184,108988244130,78044543959,69173308661,36100299663,11220520
