자치구,행정동,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,행정동_코드
송파구,석촌동,9357,0,1145,2139,2220,1986,1867,11240630
서대문구,연희동,9048,0,1405,2284,1960,2579,820,11130760
강남구,역삼2동,8924,10,2063,2479,2127,1585,660,11230650
용산구,서빙고동,8882,0,1580,2650,2744,1406,502,11030690
관악구,청룡동,8862,0,1370,2589,2085,1921,897,11210800
강남구,개포2동,8854,2,1555,2526,2126,1643,1002,11230800
광진구,광장동,8331,48,2599,2203,1613,1291,577,11050630
양천구,신정4동,8246,7,1244,1583,1796,1808,1808,11150720
성북구,삼선동,8154,0,915,2012,2429,2167,631,11080820
서초구,방배3동,8047,23,1273,2391,2186,1311,863,11220640
동작구,사당2동,7945,0,1329,2177,2121,1494,824,11200730
강서구,화곡6동,7494,0,1062,2001,1911,1696,824,11160610
동작구,대방동,7420,0,1190,1970,1754,1668,838,11200680
중구,약수동,7364,13,1187,2756,2041,1007,360,11020710
마포구,연남동,7323,0,1332,1909,1775,1398,909,11140710
서대문구,충현동,7132,0,873,1817,1898,1713,831,11130730
성동구,마장동,6926,0,526,1228,1601,2332,1239,11040540
송파구,방이1동,6509,0,686,1297,1709,1724,1093,11240570
강서구,화곡1동,6429,0,648,1426,1653,1739,963,11160730
중구,장충동,6409,5,1387,1731,1691,1245,350,11020580
노원구,상계2동,6301,0,833,1354,1652,1651,811,11110660
광진구,자양1동,6209,0,426,876,1688,2540,679,11050640
도봉구,창5동,6098,0,671,1330,1503,1385,1209,11100630
노원구,공릉1동,6065,0,640,921,1336,1667,1501,11110790
동작구,노량진1동,6036,0,864,1642,1504,1341,685,11200720
동대문구,장안2동,5992,0,1708,1174,1239,1157,714,11060880
용산구,이촌1동,5907,11,956,1595,1657,1209,479,11030630
송파구,가락1동,5755,0,391,1068,1586,1649,1061,11240660
서초구,반포본동,5670,11,936,1869,1616,972,266,11220560
강서구,등촌3동,5657,0,709,1205,1267,1401,1075,11160540
구로구,개봉3동,5642,0,843,1405,1423,1299,672,11170650
강서구,공항동,5530,0,918,1823,1527,1085,177,11160690
영등포구,대림3동,5388,0,625,1163,1367,1203,1030,11190720
강북구,수유3동,5307,0,393,1210,1357,1563,784,11090650
영등포구,양평1동,5281,0,1049,1227,1175,1064,766,11190610
마포구,성산1동,5106,0,645,1081,1184,1013,1183,11140720
마포구,공덕동,5098,0,1136,1419,1392,902,249,11140770
종로구,혜화동,5000,0,787,1366,1243,1015,589,11010730
금천구,시흥1동,4800,0,676,1128,1149,1237,610,11180570
강서구,등촌1동,4759,0,951,1248,1061,846,653,11160520
중랑구,상봉2동,4753,0,526,1163,1526,1142,396,11070600
종로구,교남동,4676,5,710,1231,1211,1028,491,11010580
동대문구,제기동,4628,0,506,1218,1181,1017,706,11060820
동대문구,답십리2동,4546,0,743,1018,1068,959,758,11060860
중구,중림동,4477,0,899,1413,1180,661,324,11020680
도봉구,방학1동,4454,0,403,909,1069,1347,726,11100550
송파구,잠실4동,4438,22,593,1392,1289,940,202,11240750
광진구,군자동,4285,1,736,882,1009,1009,648,11050540
은평구,녹번동,4261,0,457,972,1162,1131,539,11120510
마포구,망원1동,4249,0,1160,1229,899,631,330,11140690
중구,신당동,4194,0,1202,908,837,766,481,11020690
강서구,방화1동,4193,0,398,898,1050,1223,624,11160700
서대문구,신촌동,4166,0,996,1108,912,778,372,11130750
송파구,가락2동,4154,0,546,877,831,787,1113,11240670
성북구,안암동,4142,0,451,1162,1071,905,553,11080600
양천구,목3동,4124,0,587,961,1061,929,586,11150530
종로구,청운효자동,4112,0,717,1197,1163,750,285,11010720
강동구,천호2동,4046,0,385,813,1021,978,849,11250730
마포구,망원2동,3947,0,491,736,848,1213,659,11140700
구로구,개봉2동,3895,0,695,947,928,930,395,11170640
마포구,신수동,3846,0,579,1049,1030,910,278,11140630
강남구,개포4동,3829,0,464,874,1090,912,489,11230710
강서구,화곡4동,3775,0,687,985,888,823,392,11160590
성북구,길음1동,3772,244,1326,931,630,413,228,11080660
강동구,성내3동,3635,0,506,838,914,766,611,11250670
노원구,상계1동,3606,0,414,755,866,915,656,11110650
관악구,낙성대동,3561,0,575,1232,762,552,440,11210580
구로구,고척2동,3526,0,282,790,904,990,560,11170620
동작구,상도1동,3522,0,564,857,853,778,470,11200530
광진구,중곡2동,3517,0,478,696,935,894,514,11050560
성동구,성수1가1동,3501,0,481,776,789,896,559,11040650
마포구,서강동,3500,0,606,877,842,683,492,11140760
용산구,용문동,3452,0,663,941,955,648,245,11030590
구로구,개봉1동,3444,0,326,761,830,913,614,11170720
강남구,개포1동,3433,12,538,910,895,710,368,11230680
강동구,명일1동,3420,0,486,907,873,624,530,11250530
동작구,신대방1동,3411,0,650,1096,797,552,316,11200690
성북구,석관동,3379,0,302,679,710,656,1032,11080850
구로구,오류1동,3372,0,430,635,834,982,491,11170670
은평구,갈현2동,3344,0,309,665,892,946,532,11120560
종로구,삼청동,3310,0,392,890,1053,792,183,11010540
양천구,목2동,3296,0,451,810,878,761,396,11150520
송파구,송파2동,3278,2,524,817,857,780,298,11240620
금천구,독산3동,3223,0,316,579,650,660,1018,11180540
종로구,부암동,3187,0,430,841,949,731,236,11010550
관악구,신사동,3137,0,499,950,960,550,178,11210680
관악구,신사동,3137,0,499,950,960,550,178,11230510
성동구,옥수동,3059,0,788,907,688,462,214,11040730
송파구,삼전동,3016,0,351,686,684,613,682,11240640
용산구,청파동,2909,0,416,762,717,633,381,11030710
송파구,장지동,2852,0,308,451,679,753,661,11240810
강서구,우장산동,2841,0,618,644,614,596,369,11160740
강동구,명일2동,2834,0,340,806,757,597,334,11250540
서대문구,홍은1동,2823,0,78,203,780,1368,394,11130660
중랑구,신내1동,2799,0,480,607,512,762,438,11070690
영등포구,영등포본동,2782,0,371,707,737,689,278,11190730
광진구,자양2동,2767,0,376,620,735,731,305,11050650
서초구,반포1동,2719,0,489,919,692,409,210,11220570
성북구,동선동,2634,1,348,568,663,627,427,11080830
관악구,미성동,2618,0,186,461,655,715,601,11210830
성동구,왕십리도선동,2617,0,431,500,549,652,485,11040710
양천구,신월7동,2610,0,272,428,535,628,747,11150630
성북구,월곡2동,2586,0,418,732,633,459,344,11080720
영등포구,신길1동,2570,0,397,593,582,583,415,11190630
강동구,암사1동,2569,0,326,563,547,509,624,11250720
영등포구,대림2동,2566,0,474,616,571,397,508,11190710
