"동별","산업대분류별","구분별","항목","단위","2023 년",
"사직동","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","393",
"사직동","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","22",
"사직동","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","122",
"사직동","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","134",
"사직동","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","123",
"사직동","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","307",
"삼청동","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","998",
"삼청동","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","445",
"삼청동","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","2618",
"삼청동","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","2459",
"삼청동","농업 임업 및 어업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"삼청동","광업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"삼청동","제조업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","31",
"삼청동","전기 가스 증기 및 공기조절 공급업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"삼청동","수도 하수 및 폐기물 처리 원료 재생업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"삼청동","건설업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","14",
"삼청동","도매 및 소매업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","322",
"삼청동","운수 및 창고업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","14",
"삼청동","숙박 및 음식점업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","252",
"삼청동","정보통신업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","36",
"삼청동","금융 및 보험업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","12",
"삼청동","부동산업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","71",
"삼청동","전문 과학 및 기술 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","85",
"삼청동","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","37",
"삼청동","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","3",
"삼청동","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","25",
"삼청동","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","12",
"삼청동","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","32",
"삼청동","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","52",
"부암동","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","928",
"부암동","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","426",
"부암동","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","1800",
"부암동","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","2193",
"부암동","농업 임업 및 어업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"부암동","광업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"부암동","제조업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","41",
"부암동","전기 가스 증기 및 공기조절 공급업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"부암동","수도 하수 및 폐기물 처리 원료 재생업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"부암동","건설업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","36",
"부암동","도매 및 소매업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","234",
"부암동","운수 및 창고업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","43",
"부암동","숙박 및 음식점업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","129",
"부암동","정보통신업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","69",
"부암동","금융 및 보험업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","3",
"부암동","부동산업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","52",
"부암동","전문 과학 및 기술 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","91",
"부암동","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","21",
"부암동","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","3",
"부암동","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","55",
"부암동","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","29",
"부암동","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","40",
"부암동","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","82",
"평창동","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1338",
"평창동","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","584",
"평창동","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","2057",
"평창동","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","2235",
"평창동","농업 임업 및 어업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"평창동","광업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1",
"평창동","제조업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","34",
"평창동","전기 가스 증기 및 공기조절 공급업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"평창동","수도 하수 및 폐기물 처리 원료 재생업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1",
"평창동","건설업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","43",
"평창동","도매 및 소매업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","380",
"평창동","운수 및 창고업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","59",
"평창동","숙박 및 음식점업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","131",
"평창동","정보통신업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","108",
"평창동","금융 및 보험업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","12",
"평창동","부동산업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","102",
"평창동","전문 과학 및 기술 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","119",
"평창동","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","25",
"평창동","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","3",
"평창동","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","66",
"평창동","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","46",
"평창동","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","82",
"평창동","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","126",
"무악동","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","832",
"무악동","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","194",
"무악동","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","955",
"무악동","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","939",
"무악동","농업 임업 및 어업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"무악동","광업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"무악동","제조업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","6",
"무악동","전기 가스 증기 및 공기조절 공급업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"무악동","수도 하수 및 폐기물 처리 원료 재생업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","-",
"무악동","건설업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","18",
"무악동","도매 및 소매업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","100",
"무악동","운수 및 창고업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","480",
"무악동","숙박 및 음식점업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","37",
"무악동","정보통신업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","16",
"무악동","금융 및 보험업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","2",
"무악동","부동산업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","24",
"무악동","전문 과학 및 기술 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","28",
"무악동","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","12",
"무악동","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1",
"무악동","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","32",
"무악동","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","13",
"무악동","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","13",
"무악동","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","50",
"교남동","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","594",
